Name,Student ID,Email,Gender,Course,Hobbies,Academic Interests,Extracurricular Interests,Past Club Involvement,Past Clubs,Skills,Preferred Content Types,Activity Frequency
Michael Dunlap,STU1242,sandralane@example.net,Male,Engineering,"['Sports', 'Cooking']","['Physics', 'Data Science', 'History']","['Volunteering', 'Robotics']",No,"['section', 'discussion']",['Writing'],"['Podcasts', 'Articles']",Bi-weekly
Cody Watkins,STU1243,garyjones@example.org,Other,Computer Science,"['Cooking', 'Travel']","['Engineering', 'Physics']","['Debate', 'Photography', 'Drama']",No,[],"['Public Speaking', 'Programming']","['Events', 'Articles']",Bi-weekly
Jeffery Moore,STU1244,krichards@example.org,Female,History,"['Technology', 'Reading']","['History', 'Biology']","['Debate', 'Drama', 'Photography']",No,[],"['Design', 'Programming']","['Events', 'Tutorials']",Weekly
Danielle Morrow,STU1245,lisa98@example.org,Other,Literature,"['Technology', 'Travel']","['Literature', 'Biology']","['Music Band', 'Robotics']",Yes,"['example', 'think']","['Event Planning', 'Public Speaking', 'Programming']","['Events', 'Podcasts']",Bi-weekly
Amanda Walker,STU1246,megan51@example.org,Male,Mathematics,"['Technology', 'Reading', 'Sports']",['Physics'],"['Drama', 'Debate', 'Robotics']",No,[],"['Writing', 'Design']","['Events', 'Tutorials']",Weekly
Diane Brown DDS,STU1247,emilyhall@example.org,Male,Literature,"['Sports', 'Travel']",['Physics'],"['Photography', 'Debate', 'Robotics']",Yes,[],"['Writing', 'Public Speaking', 'Design']",['Podcasts'],Monthly
Bradley Myers,STU1248,danielle98@example.net,Female,Biology,"['Cooking', 'Gaming', 'Technology']","['Mathematics', 'Literature', 'Biology']",['Debate'],Yes,[],"['Programming', 'Leadership', 'Writing']","['Tutorials', 'Podcasts']",Weekly
Kari Cook,STU1249,thomasbrianna@example.org,Male,Literature,"['Reading', 'Arts', 'Writing']",['Literature'],"['Volunteering', 'Music Band', 'Robotics']",No,"['wide', 'six']","['Leadership', 'Event Planning']",['Tutorials'],Monthly
Edward Hudson,STU1250,zwilliams@example.org,Other,Engineering,"['Sports', 'Writing']","['Engineering', 'Physics', 'History']","['Drama', 'Sports Teams']",No,"['pass', 'either']","['Public Speaking', 'Design']","['Articles', 'Events']",Bi-weekly
Frank Suarez,STU1251,clarkjill@example.org,Male,Physics,"['Reading', 'Science', 'Cooking']",['Physics'],"['Drama', 'Debate']",Yes,"['rather', 'discussion']","['Programming', 'Public Speaking']","['Videos', 'Tutorials']",Monthly
Mark Parks,STU1252,martinnicholas@example.net,Other,Mathematics,"['Cooking', 'Arts', 'Technology']",['AI'],"['Music Band', 'Volunteering', 'Photography']",Yes,"['nearly', 'the']","['Programming', 'Public Speaking']","['Tutorials', 'Podcasts', 'Videos']",Weekly
Megan King,STU1253,dawn01@example.org,Male,Biology,"['Sports', 'Travel', 'Science']","['History', 'AI']",['Volunteering'],Yes,"['back', 'learn']","['Event Planning', 'Writing']","['Videos', 'Podcasts', 'Articles']",Weekly
Ashley Bauer,STU1254,vasquezjennifer@example.com,Other,Engineering,"['Cooking', 'Travel']",['Data Science'],"['Debate', 'Sports Teams']",Yes,"['soldier', 'few']","['Design', 'Public Speaking', 'Event Planning']",['Podcasts'],Monthly
Michele Becker,STU1255,davidsimon@example.net,Male,Physics,"['Sports', 'Gaming', 'Arts']","['AI', 'Literature']","['Debate', 'Music Band']",Yes,[],"['Design', 'Programming']","['Podcasts', 'Tutorials', 'Videos']",Monthly
Randall Graham,STU1256,jrubio@example.net,Female,Computer Science,"['Science', 'Sports', 'Technology']","['Mathematics', 'Literature', 'Engineering']","['Robotics', 'Debate', 'Drama']",Yes,[],"['Programming', 'Writing', 'Design']","['Articles', 'Tutorials', 'Events']",Monthly
Troy Young,STU1257,fieldsapril@example.com,Female,Engineering,"['Gaming', 'Sports']","['Physics', 'Mathematics', 'History']","['Sports Teams', 'Photography', 'Debate']",No,[],"['Programming', 'Public Speaking']",['Tutorials'],Monthly
Benjamin Henry,STU1258,paigecastro@example.org,Male,Computer Science,"['Writing', 'Technology']","['Mathematics', 'AI']","['Music Band', 'Photography']",No,"['describe', 'pay']","['Writing', 'Public Speaking', 'Event Planning']","['Videos', 'Podcasts']",Weekly
Oscar Drake,STU1259,jabbott@example.org,Female,Engineering,['Writing'],['Data Science'],"['Robotics', 'Debate']",No,[],"['Design', 'Programming', 'Event Planning']",['Articles'],Weekly
Alex Riggs,STU1260,johnsonangela@example.com,Other,History,"['Science', 'Sports']",['Engineering'],"['Debate', 'Photography', 'Robotics']",No,"['speech', 'realize']",['Programming'],"['Tutorials', 'Videos']",Bi-weekly
Anthony Boyd,STU1261,sandovaljeremy@example.com,Male,Literature,['Technology'],"['Data Science', 'Physics', 'History']","['Volunteering', 'Debate']",No,[],"['Leadership', 'Programming', 'Design']","['Tutorials', 'Videos']",Weekly
Brandon Russo,STU1262,craig77@example.com,Other,Computer Science,['Arts'],"['Data Science', 'Biology']","['Robotics', 'Debate']",No,[],"['Design', 'Public Speaking']",['Tutorials'],Bi-weekly
Shane Crane,STU1263,arellanoconnor@example.net,Female,Biology,"['Arts', 'Technology', 'Music']","['Engineering', 'Physics']","['Music Band', 'Robotics', 'Sports Teams']",Yes,"['inside', 'national']",['Design'],['Videos'],Bi-weekly
Adriana Carter,STU1264,tchristensen@example.com,Other,Computer Science,['Science'],"['Physics', 'History']","['Volunteering', 'Music Band', 'Sports Teams']",Yes,"['movement', 'or']","['Leadership', 'Programming']","['Articles', 'Podcasts']",Weekly
Charles Barry,STU1265,xconway@example.net,Other,Physics,"['Cooking', 'Reading']","['Engineering', 'Physics']","['Photography', 'Music Band', 'Volunteering']",No,[],"['Design', 'Event Planning', 'Writing']","['Articles', 'Podcasts']",Bi-weekly
Tina Allen,STU1266,jordansalinas@example.net,Female,Biology,['Gaming'],"['Physics', 'Engineering', 'Data Science']","['Volunteering', 'Drama']",Yes,[],"['Programming', 'Leadership']",['Tutorials'],Weekly
Annette Bush,STU1267,penningtoncarrie@example.com,Female,Physics,['Music'],['Physics'],"['Volunteering', 'Music Band']",No,[],['Event Planning'],['Articles'],Monthly
Ryan Ryan,STU1268,mgarcia@example.com,Female,Biology,['Cooking'],"['Biology', 'Physics', 'Engineering']",['Music Band'],No,[],"['Public Speaking', 'Leadership', 'Programming']",['Videos'],Weekly
Eric Henderson,STU1269,zachary99@example.net,Male,History,['Arts'],"['Mathematics', 'History']","['Drama', 'Music Band', 'Photography']",Yes,[],"['Leadership', 'Public Speaking', 'Writing']","['Podcasts', 'Articles']",Monthly
Faith Sherman,STU1270,fischerthomas@example.org,Female,Computer Science,"['Reading', 'Music', 'Science']",['Data Science'],"['Debate', 'Sports Teams']",Yes,[],"['Writing', 'Design']",['Articles'],Weekly
Anna Brown,STU1271,harrisdiane@example.net,Female,History,"['Travel', 'Music', 'Reading']","['Mathematics', 'Literature']","['Volunteering', 'Photography', 'Music Band']",Yes,"['not', 'bed']",['Writing'],['Podcasts'],Bi-weekly
Jason Johnson,STU1272,erica82@example.net,Other,Biology,['Science'],['Mathematics'],"['Debate', 'Drama']",No,"['when', 'seem']",['Programming'],['Articles'],Monthly
Kenneth Wolf,STU1273,james56@example.com,Female,Computer Science,"['Music', 'Reading']","['Biology', 'Engineering']","['Volunteering', 'Music Band', 'Sports Teams']",Yes,"['little', 'model']","['Event Planning', 'Public Speaking']","['Articles', 'Events', 'Videos']",Weekly
Ms. Shannon Ortiz,STU1274,taylorandrea@example.net,Female,Engineering,['Technology'],"['History', 'Literature', 'AI']",['Volunteering'],No,[],"['Leadership', 'Event Planning']",['Articles'],Weekly
Mark Garcia MD,STU1275,djohnson@example.net,Other,Mathematics,"['Technology', 'Reading']",['Mathematics'],['Drama'],No,"['expert', 'their']","['Writing', 'Design', 'Public Speaking']",['Articles'],Weekly
Jennifer Weaver,STU1276,jennifer50@example.com,Male,Physics,['Technology'],"['History', 'Biology', 'Mathematics']","['Music Band', 'Volunteering', 'Sports Teams']",Yes,"['woman', 'expert']",['Public Speaking'],"['Videos', 'Articles']",Weekly
Cory Spence,STU1277,smcpherson@example.org,Male,Biology,"['Gaming', 'Music', 'Sports']","['Engineering', 'Mathematics']","['Robotics', 'Music Band']",Yes,"['drug', 'eye']","['Public Speaking', 'Event Planning', 'Writing']","['Podcasts', 'Events', 'Tutorials']",Monthly
Veronica Edwards,STU1278,kingmichael@example.net,Male,Literature,['Cooking'],"['AI', 'Biology', 'Literature']","['Photography', 'Sports Teams', 'Volunteering']",Yes,[],"['Design', 'Writing']","['Events', 'Tutorials']",Monthly
Alicia Turner,STU1279,katie32@example.org,Male,Computer Science,"['Music', 'Arts', 'Reading']","['Mathematics', 'Engineering']","['Volunteering', 'Music Band', 'Debate']",Yes,"['car', 'agent']",['Event Planning'],['Articles'],Weekly
Susan Lopez,STU1280,oshaw@example.net,Other,History,"['Science', 'Technology']",['Physics'],['Photography'],No,[],['Design'],"['Videos', 'Articles', 'Tutorials']",Bi-weekly
Dr. Linda Ashley,STU1281,leslie51@example.net,Male,Physics,"['Sports', 'Gaming']",['Physics'],"['Drama', 'Debate', 'Photography']",No,[],['Event Planning'],['Events'],Monthly
Lori Carter,STU1282,acarr@example.net,Female,Mathematics,['Travel'],"['Data Science', 'Physics', 'AI']",['Photography'],No,"['decision', 'upon']",['Programming'],"['Articles', 'Videos', 'Events']",Weekly
Jamie Howard,STU1283,walterwells@example.org,Other,Mathematics,"['Writing', 'Cooking', 'Technology']","['AI', 'Mathematics', 'History']","['Robotics', 'Sports Teams']",No,"['exactly', 'theory']","['Writing', 'Public Speaking']","['Videos', 'Tutorials', 'Podcasts']",Weekly
Melissa Wilson,STU1284,smithelizabeth@example.net,Other,Mathematics,"['Cooking', 'Sports', 'Technology']",['AI'],['Volunteering'],No,[],['Leadership'],['Tutorials'],Monthly
Corey Jones,STU1285,joyce77@example.org,Male,Physics,['Sports'],"['Biology', 'Literature']",['Photography'],Yes,[],['Writing'],"['Podcasts', 'Videos']",Weekly
Ashley Hernandez,STU1286,andrea74@example.org,Male,Computer Science,"['Reading', 'Arts', 'Writing']","['AI', 'Data Science']","['Volunteering', 'Drama', 'Debate']",Yes,[],"['Programming', 'Design']","['Tutorials', 'Articles']",Weekly
Jamie Diaz,STU1287,marvin18@example.org,Other,Physics,"['Science', 'Music']",['Biology'],"['Music Band', 'Robotics']",No,[],['Writing'],['Articles'],Monthly
Jared Wagner,STU1288,april14@example.net,Male,Physics,"['Music', 'Science', 'Technology']",['Mathematics'],"['Volunteering', 'Drama']",No,[],['Design'],"['Podcasts', 'Events']",Weekly
Anthony Richards,STU1289,whitedavid@example.com,Male,Computer Science,['Travel'],"['Literature', 'Physics']","['Music Band', 'Photography', 'Robotics']",No,[],"['Public Speaking', 'Design']","['Podcasts', 'Events']",Weekly
Alexis Atkins,STU1290,millsmary@example.org,Other,Physics,"['Sports', 'Technology', 'Gaming']",['Data Science'],['Debate'],Yes,[],['Design'],"['Articles', 'Tutorials']",Bi-weekly
Jennifer Smith,STU1291,kingjennifer@example.org,Female,Engineering,['Music'],"['Literature', 'History', 'Data Science']","['Volunteering', 'Robotics', 'Debate']",Yes,"['wife', 'human']",['Programming'],['Events'],Monthly
Jason Wilkinson,STU1292,jennifer49@example.org,Other,History,"['Science', 'Writing']","['Data Science', 'Biology']",['Photography'],No,[],"['Writing', 'Public Speaking']","['Events', 'Tutorials']",Bi-weekly
Sabrina Chen,STU1293,plarsen@example.org,Male,Physics,['Reading'],['Literature'],"['Music Band', 'Debate', 'Volunteering']",No,[],['Writing'],['Videos'],Weekly
Christopher Leach,STU1294,msimpson@example.net,Female,Physics,"['Gaming', 'Reading']",['Engineering'],['Robotics'],No,[],['Leadership'],"['Podcasts', 'Articles', 'Videos']",Monthly
Emily Shepard,STU1295,osmith@example.org,Other,Engineering,"['Cooking', 'Music', 'Gaming']",['Literature'],"['Debate', 'Sports Teams', 'Music Band']",No,[],"['Writing', 'Leadership']","['Tutorials', 'Articles']",Weekly
Valerie Todd,STU1296,morganlowery@example.net,Other,Physics,"['Writing', 'Science']","['AI', 'Mathematics', 'Physics']","['Drama', 'Music Band']",No,[],['Design'],['Tutorials'],Monthly
Marie Jefferson,STU1297,clawson@example.com,Other,Biology,"['Cooking', 'Reading']","['Engineering', 'History', 'Literature']","['Robotics', 'Drama']",No,"['space', 'issue']",['Event Planning'],['Events'],Bi-weekly
Charles Villa,STU1298,leonardanne@example.org,Female,Biology,"['Technology', 'Cooking']","['Engineering', 'History', 'AI']","['Sports Teams', 'Photography']",Yes,[],['Design'],['Tutorials'],Weekly
Roy Miller,STU1299,weavertammy@example.net,Other,Mathematics,"['Travel', 'Technology', 'Gaming']","['Mathematics', 'Physics', 'Engineering']","['Sports Teams', 'Robotics', 'Debate']",Yes,[],"['Leadership', 'Event Planning', 'Writing']","['Events', 'Podcasts', 'Videos']",Bi-weekly
Nancy Allison,STU1300,bartlettkelly@example.com,Female,Computer Science,"['Technology', 'Music']","['Engineering', 'Biology', 'Mathematics']",['Volunteering'],Yes,[],"['Leadership', 'Writing', 'Public Speaking']","['Videos', 'Tutorials']",Monthly
Patrick Melton,STU1301,john34@example.org,Female,Computer Science,"['Science', 'Technology', 'Cooking']",['Biology'],"['Photography', 'Robotics', 'Music Band']",Yes,[],"['Writing', 'Design']",['Podcasts'],Bi-weekly
Michael Hall,STU1302,clarkanthony@example.org,Other,Computer Science,"['Technology', 'Travel', 'Sports']",['Literature'],"['Volunteering', 'Robotics', 'Debate']",Yes,[],"['Design', 'Public Speaking', 'Programming']","['Tutorials', 'Videos']",Weekly
Jennifer Lewis,STU1303,bentleymichaela@example.com,Male,Computer Science,"['Gaming', 'Arts', 'Cooking']",['Engineering'],"['Music Band', 'Robotics']",Yes,"['idea', 'young']","['Programming', 'Writing']","['Tutorials', 'Articles', 'Events']",Monthly
Elizabeth Dyer,STU1304,robert26@example.com,Female,Literature,"['Cooking', 'Music', 'Writing']","['AI', 'Data Science']","['Volunteering', 'Music Band', 'Debate']",Yes,[],['Event Planning'],['Videos'],Monthly
Amy Duncan,STU1305,alexandralin@example.org,Other,Mathematics,"['Arts', 'Technology', 'Travel']","['Mathematics', 'History']",['Volunteering'],No,"['care', 'step']","['Public Speaking', 'Design']",['Articles'],Weekly
David Taylor,STU1306,brewermary@example.com,Other,Physics,['Sports'],"['Mathematics', 'Physics', 'AI']","['Debate', 'Music Band', 'Sports Teams']",Yes,[],"['Leadership', 'Design']","['Videos', 'Tutorials']",Weekly
Micheal Garcia,STU1307,boydkristine@example.net,Male,Biology,"['Cooking', 'Science', 'Travel']","['Data Science', 'Literature']","['Photography', 'Drama', 'Sports Teams']",Yes,[],['Event Planning'],"['Articles', 'Events', 'Podcasts']",Monthly
Elizabeth Rodriguez,STU1308,stevenlarson@example.org,Male,Mathematics,"['Travel', 'Cooking']",['Mathematics'],"['Sports Teams', 'Photography', 'Drama']",Yes,[],"['Leadership', 'Writing']","['Events', 'Tutorials']",Bi-weekly
Kaitlin Lopez,STU1309,smithkevin@example.com,Male,Physics,"['Music', 'Arts', 'Gaming']","['Engineering', 'Literature']","['Sports Teams', 'Debate']",Yes,[],['Writing'],"['Events', 'Podcasts', 'Articles']",Weekly
Savannah Acosta,STU1310,buckmark@example.com,Other,Physics,"['Music', 'Gaming']","['Literature', 'Mathematics']","['Drama', 'Music Band', 'Photography']",Yes,[],['Writing'],['Events'],Bi-weekly
Patricia Martinez,STU1311,laurarodriguez@example.net,Male,History,"['Sports', 'Reading']","['Data Science', 'History']","['Music Band', 'Drama']",Yes,[],"['Event Planning', 'Design']","['Videos', 'Tutorials']",Bi-weekly
Cameron Smith,STU1312,heather97@example.org,Male,History,['Arts'],"['Data Science', 'Engineering']",['Drama'],Yes,"['far', 'always']","['Design', 'Public Speaking', 'Programming']",['Articles'],Monthly
Mark Clark,STU1313,brownrebecca@example.org,Other,History,"['Cooking', 'Technology', 'Arts']",['Physics'],['Music Band'],Yes,[],"['Programming', 'Public Speaking']","['Articles', 'Podcasts', 'Events']",Monthly
Megan Park,STU1314,jfoster@example.org,Other,Computer Science,"['Music', 'Science', 'Cooking']","['Biology', 'AI', 'Data Science']","['Drama', 'Volunteering']",Yes,[],['Design'],"['Tutorials', 'Articles', 'Podcasts']",Weekly
Michelle Carey,STU1315,franklinjoseph@example.com,Female,Computer Science,"['Gaming', 'Science']","['Literature', 'Engineering']","['Robotics', 'Sports Teams']",No,"['back', 'plan']","['Leadership', 'Design', 'Programming']",['Videos'],Monthly
Patrick Flynn,STU1316,stephenneal@example.com,Male,Biology,['Writing'],"['Data Science', 'History']","['Music Band', 'Robotics']",No,[],"['Writing', 'Event Planning']","['Videos', 'Tutorials', 'Articles']",Monthly
Scott Bailey,STU1317,zelliott@example.com,Male,History,['Science'],['Literature'],"['Photography', 'Sports Teams']",No,[],"['Design', 'Public Speaking']",['Podcasts'],Weekly
Travis Leonard,STU1318,kaufmanbeth@example.net,Male,Computer Science,"['Music', 'Technology']","['History', 'Literature']","['Sports Teams', 'Debate']",No,[],['Leadership'],"['Articles', 'Tutorials', 'Podcasts']",Weekly
Steven Davis,STU1319,timothy27@example.org,Female,Physics,['Science'],['Literature'],['Sports Teams'],Yes,[],['Programming'],"['Tutorials', 'Events']",Monthly
Sonya Day DDS,STU1320,ywilliams@example.org,Other,Biology,['Music'],"['History', 'Biology', 'Data Science']","['Music Band', 'Sports Teams', 'Photography']",No,"['recognize', 'health']","['Public Speaking', 'Design', 'Event Planning']",['Articles'],Bi-weekly
Sherri Stewart,STU1321,melissa59@example.org,Female,Computer Science,['Arts'],['Engineering'],"['Photography', 'Drama', 'Debate']",No,"['administration', 'common']",['Leadership'],"['Tutorials', 'Podcasts', 'Articles']",Weekly
Paul Ball,STU1322,ohampton@example.org,Female,Mathematics,['Technology'],"['AI', 'Literature', 'Mathematics']","['Photography', 'Drama', 'Debate']",Yes,"['player', 'particularly']","['Design', 'Leadership']","['Podcasts', 'Articles']",Bi-weekly
Vanessa Evans,STU1323,tammypierce@example.com,Male,Biology,"['Music', 'Writing']",['Physics'],"['Volunteering', 'Robotics']",Yes,"['later', 'read']",['Design'],['Videos'],Monthly
Chloe Rivera,STU1324,lmoore@example.net,Female,Literature,"['Travel', 'Reading', 'Music']","['Physics', 'Data Science']","['Photography', 'Robotics']",No,[],"['Writing', 'Programming']",['Videos'],Bi-weekly
Jonathan Maxwell,STU1325,garciaanna@example.net,Female,Literature,"['Gaming', 'Sports']",['Literature'],"['Debate', 'Sports Teams', 'Robotics']",Yes,"['cause', 'market']","['Programming', 'Leadership']","['Events', 'Videos', 'Podcasts']",Bi-weekly
Randall Contreras,STU1326,jperez@example.com,Male,History,['Music'],"['Mathematics', 'Biology']","['Debate', 'Robotics']",Yes,[],['Programming'],"['Tutorials', 'Events', 'Articles']",Bi-weekly
Kayla Horton,STU1327,dmoody@example.com,Other,History,['Writing'],"['AI', 'Mathematics']","['Debate', 'Robotics']",No,"['read', 'address']","['Leadership', 'Event Planning', 'Public Speaking']",['Podcasts'],Monthly
Jacob Rasmussen,STU1328,jmora@example.org,Male,Mathematics,"['Technology', 'Writing']","['Data Science', 'Mathematics', 'Literature']","['Volunteering', 'Robotics']",No,[],['Design'],"['Events', 'Podcasts', 'Tutorials']",Bi-weekly
David Benson,STU1329,lbrown@example.org,Other,History,"['Reading', 'Gaming']","['Literature', 'Mathematics']","['Photography', 'Sports Teams']",Yes,"['able', 'whether']",['Leadership'],"['Podcasts', 'Tutorials', 'Events']",Weekly
Melanie Cobb,STU1330,joshua05@example.net,Female,Computer Science,"['Cooking', 'Gaming']","['History', 'Literature', 'Biology']","['Sports Teams', 'Drama', 'Volunteering']",No,[],"['Programming', 'Leadership']","['Podcasts', 'Videos']",Monthly
Melanie Smith,STU1331,thorntoncynthia@example.org,Male,Physics,"['Arts', 'Technology']",['Physics'],['Sports Teams'],Yes,"['structure', 'six']","['Event Planning', 'Leadership']","['Articles', 'Tutorials']",Bi-weekly
Jennifer Deleon,STU1332,anthony09@example.net,Female,Engineering,"['Science', 'Gaming', 'Travel']",['Data Science'],['Robotics'],No,"['poor', 'than']","['Writing', 'Leadership', 'Event Planning']","['Articles', 'Podcasts']",Monthly
Matthew Wilson,STU1333,zpeters@example.net,Other,Physics,"['Technology', 'Gaming', 'Writing']","['Literature', 'History', 'Engineering']","['Sports Teams', 'Volunteering']",Yes,"['run', 'when']",['Programming'],"['Tutorials', 'Videos']",Bi-weekly
Mr. Robert Vasquez,STU1334,davisrenee@example.com,Male,Physics,"['Technology', 'Sports', 'Cooking']","['AI', 'Biology', 'History']","['Robotics', 'Sports Teams']",No,[],"['Programming', 'Leadership']",['Videos'],Monthly
Shirley Sanders,STU1335,morozco@example.com,Female,Engineering,['Travel'],"['AI', 'History']","['Photography', 'Sports Teams']",No,[],['Writing'],['Articles'],Monthly
Nancy Torres,STU1336,victoriahoward@example.org,Other,Literature,['Travel'],"['AI', 'Engineering']",['Debate'],Yes,"['trip', 'glass']","['Writing', 'Design', 'Leadership']","['Podcasts', 'Articles', 'Tutorials']",Bi-weekly
Mark Williams,STU1337,williejohnson@example.org,Other,Engineering,"['Gaming', 'Writing']","['History', 'Engineering']",['Photography'],Yes,[],['Event Planning'],['Videos'],Monthly
Sandra Johnson,STU1338,thompsonjonathan@example.net,Male,Physics,"['Technology', 'Sports']","['History', 'Biology', 'Mathematics']","['Debate', 'Music Band', 'Volunteering']",Yes,"['play', 'wish']",['Leadership'],"['Events', 'Tutorials']",Bi-weekly
Thomas Williams,STU1339,dgarza@example.net,Other,Mathematics,"['Science', 'Reading']",['Engineering'],"['Sports Teams', 'Drama']",Yes,[],['Leadership'],"['Articles', 'Events']",Bi-weekly
Sara Allen,STU1340,dsmith@example.org,Other,Engineering,['Arts'],"['Literature', 'Physics']",['Photography'],No,[],"['Event Planning', 'Public Speaking']","['Videos', 'Events', 'Podcasts']",Weekly
Desiree Moore,STU1341,courtney93@example.org,Female,Physics,"['Travel', 'Music']",['Physics'],"['Volunteering', 'Photography', 'Drama']",No,[],['Programming'],"['Videos', 'Articles', 'Podcasts']",Weekly
Jason Evans,STU1342,kennethsmith@example.net,Female,Literature,"['Science', 'Writing', 'Reading']","['Engineering', 'Literature']","['Sports Teams', 'Volunteering']",Yes,"['model', 'authority']","['Design', 'Event Planning']",['Podcasts'],Monthly
Rachel Wilson,STU1343,pdouglas@example.com,Male,Physics,"['Sports', 'Technology']",['Biology'],"['Sports Teams', 'Photography', 'Music Band']",Yes,[],"['Design', 'Programming']","['Podcasts', 'Tutorials']",Bi-weekly
Julie Wright,STU1344,renee54@example.org,Other,History,"['Science', 'Travel']",['AI'],"['Robotics', 'Music Band', 'Debate']",No,[],"['Public Speaking', 'Writing', 'Programming']","['Podcasts', 'Tutorials']",Weekly
Lawrence Melendez,STU1345,grossrobert@example.com,Male,Computer Science,['Science'],"['Data Science', 'Physics']",['Robotics'],Yes,[],['Writing'],"['Podcasts', 'Articles']",Bi-weekly
Kathy Fisher,STU1346,jeffrey77@example.net,Female,Biology,"['Writing', 'Reading']",['Engineering'],"['Drama', 'Debate', 'Music Band']",Yes,[],['Programming'],['Events'],Bi-weekly
Mr. Brett Wells PhD,STU1347,howardkatherine@example.net,Other,Biology,['Reading'],['Literature'],"['Photography', 'Volunteering', 'Debate']",No,[],"['Programming', 'Design']",['Tutorials'],Monthly
Robert Bryan,STU1348,martinkyle@example.com,Female,Literature,['Reading'],"['Engineering', 'Biology']","['Debate', 'Volunteering', 'Robotics']",No,"['remember', 'similar']","['Programming', 'Leadership', 'Design']",['Articles'],Bi-weekly
Timothy Barker,STU1349,tuckersandra@example.com,Male,Engineering,"['Music', 'Technology', 'Science']","['Data Science', 'Physics']","['Music Band', 'Debate']",No,[],"['Public Speaking', 'Design']",['Videos'],Monthly
Stephen Rogers,STU1350,phensley@example.com,Male,Biology,['Technology'],['Mathematics'],['Debate'],Yes,[],"['Public Speaking', 'Design']",['Videos'],Bi-weekly
Heather Pena,STU1351,larryadams@example.com,Female,Biology,"['Reading', 'Travel', 'Writing']","['Literature', 'AI', 'Physics']",['Sports Teams'],No,[],"['Public Speaking', 'Event Planning']","['Articles', 'Events', 'Tutorials']",Weekly
Wendy Schneider,STU1352,anthony21@example.net,Female,Literature,"['Arts', 'Technology']",['Mathematics'],['Robotics'],Yes,[],['Public Speaking'],"['Articles', 'Videos', 'Tutorials']",Monthly
Ryan Mcintosh,STU1353,richard42@example.org,Other,Biology,"['Sports', 'Writing', 'Arts']","['Biology', 'Engineering', 'History']","['Volunteering', 'Robotics', 'Sports Teams']",No,"['improve', 'about']","['Design', 'Writing', 'Leadership']",['Videos'],Bi-weekly
Brenda Costa,STU1354,baldwincrystal@example.org,Male,Physics,['Travel'],"['Engineering', 'History']",['Debate'],No,[],"['Design', 'Event Planning', 'Programming']",['Tutorials'],Bi-weekly
Brian Jackson,STU1355,samuel17@example.org,Other,Computer Science,['Technology'],"['Literature', 'Biology', 'Physics']","['Drama', 'Volunteering', 'Sports Teams']",No,[],"['Leadership', 'Public Speaking']","['Podcasts', 'Articles']",Monthly
Christopher Coffey,STU1356,jamie04@example.com,Male,Engineering,"['Technology', 'Sports', 'Science']","['Data Science', 'History', 'Literature']","['Sports Teams', 'Drama']",No,[],['Leadership'],"['Podcasts', 'Events', 'Tutorials']",Monthly
Johnny Costa,STU1357,tannerangela@example.org,Female,History,['Sports'],['History'],"['Volunteering', 'Drama']",No,"['example', 'church']","['Writing', 'Public Speaking']","['Articles', 'Podcasts']",Weekly
Robert Garcia,STU1358,louisedwards@example.net,Female,Mathematics,"['Reading', 'Gaming']","['Mathematics', 'AI']",['Music Band'],Yes,"['sister', 'something']","['Programming', 'Design', 'Writing']","['Podcasts', 'Articles']",Bi-weekly
Michelle Jackson,STU1359,brittany38@example.net,Female,History,"['Cooking', 'Travel', 'Music']","['Literature', 'Engineering', 'Biology']","['Photography', 'Sports Teams']",Yes,"['two', 'number']","['Writing', 'Public Speaking']","['Articles', 'Podcasts', 'Events']",Weekly
Patricia Rice,STU1360,williamspatricia@example.org,Male,Biology,['Sports'],"['AI', 'Mathematics', 'Biology']","['Robotics', 'Volunteering']",No,"['despite', 'other']","['Programming', 'Public Speaking']","['Videos', 'Articles']",Weekly
Julie Robles,STU1361,ricardoadams@example.net,Other,Literature,"['Gaming', 'Arts', 'Sports']","['Data Science', 'Mathematics']","['Drama', 'Volunteering', 'Music Band']",Yes,"['admit', 'fund']","['Public Speaking', 'Programming']","['Articles', 'Podcasts']",Monthly
Sherry Ward,STU1362,william77@example.org,Male,Mathematics,"['Science', 'Technology', 'Music']",['Biology'],"['Debate', 'Sports Teams']",No,[],['Programming'],"['Articles', 'Events', 'Videos']",Weekly
Rebecca Clark,STU1363,dwilliams@example.org,Male,Literature,"['Cooking', 'Travel']","['Engineering', 'History']",['Sports Teams'],No,[],"['Programming', 'Writing', 'Design']",['Events'],Weekly
Nicole Green,STU1364,ashley88@example.com,Female,History,"['Music', 'Travel', 'Reading']","['Mathematics', 'Data Science', 'AI']","['Drama', 'Robotics', 'Debate']",Yes,"['trouble', 'sure']","['Design', 'Writing']","['Tutorials', 'Videos', 'Articles']",Monthly
Timothy Bryant,STU1365,michaeldavila@example.net,Female,Literature,"['Writing', 'Reading']","['Mathematics', 'Data Science']",['Debate'],No,[],"['Event Planning', 'Writing']",['Podcasts'],Weekly
Melissa Mata,STU1366,jgaines@example.com,Female,Mathematics,['Writing'],"['AI', 'Literature', 'Data Science']",['Drama'],Yes,[],"['Leadership', 'Programming', 'Writing']","['Tutorials', 'Podcasts', 'Events']",Bi-weekly
